observed_at_utc,year,season,wind_speed_ms,wind_direction_deg_true,line_azimuth_deg,wind_perpendicular_ms,air_temperature_c,global_solar_radiation_wm2,convective_heat_loss_wm,radiative_heat_loss_wm,solar_heat_gain_wm,net_heat_loss_wm,rating_multiplier
2024-01-01 00:00:00+00:00,2024,winter,9.774,290.0,22.33,9.765919298492614,5.7,0.0,474.6078910320305,22.02301134597912,0.0,496.63090237800964,2.2182970599545495
2024-01-01 01:00:00+00:00,2024,winter,9.774,290.0,22.33,9.765919298492614,7.4,0.0,462.96527321450594,21.64396882019225,0.0,484.6092420346982,2.1912840620844043
2024-01-01 02:00:00+00:00,2024,winter,10.289,290.0,22.33,10.280493519765757,6.9,0.0,481.42733614300704,21.756169954921255,0.0,503.1835060979283,2.2328833342500314
2024-01-01 03:00:00+00:00,2024,winter,8.746,280.0,22.33,8.544263872429688,6.2,0.0,433.83279453194086,21.912245092054423,0.0,455.7450396239953,2.1250238517047206
2024-01-01 04:00:00+00:00,2024,winter,7.202,240.0,22.33,4.401233468820487,5.2,0.0,292.1079730270676,22.133183361931994,0.0,314.24115638899957,1.7645516129294119
2024-01-01 05:00:00+00:00,2024,winter,7.202,230.0,22.33,3.344453172038848,5.2,0.0,246.51727109309027,22.133183361931994,0.0,268.65045445502227,1.6315358595167573
2024-01-01 06:00:00+00:00,2024,winter,6.688,230.0,22.33,3.105762679060791,4.8,0.0,236.84057463089408,22.220894554251082,0.0,259.06146918514514,1.602153953817524
2024-01-01 07:00:00+00:00,2024,winter,6.688,230.0,22.33,3.105762679060791,5.0,0.0,236.16581515901117,22.177086258732125,0.0,258.3429014177433,1.5999304359355937
2024-01-01 08:00:00+00:00,2024,winter,5.659,230.0,22.33,2.6279173147136685,4.6,0.0,214.21589492580762,22.264608384483488,0.0,236.4805033102911,1.5307367339065707
2024-01-01 09:00:00+00:00,2024,winter,4.63,230.0,22.33,2.1500719503665464,4.9,0.0,190.16128917457027,22.199002223149794,0.0,212.36029139772006,1.450572667894726
2024-01-01 10:00:00+00:00,2024,winter,3.087,190.0,22.33,0.6592039592607246,4.2,46.0,110.70761324203643,22.35175319257806,0.6578,132.4015664346145,1.1453794725141264
2024-01-01 11:00:00+00:00,2024,winter,3.087,150.0,22.33,2.443495152788783,4.7,76.0,204.50570407313637,22.242763269032263,1.0868,225.6616673421686,1.4953116955188723
2024-01-01 12:00:00+00:00,2024,winter,3.601,120.0,22.33,3.568782641159622,4.9,60.0,257.7118825767382,22.199002223149794,0.858,279.05288479988803,1.6628232644768097
2024-01-01 13:00:00+00:00,2024,winter,4.63,130.0,22.33,4.411559109441389,4.7,50.0,294.62680044589814,22.242763269032263,0.715,316.1545637149304,1.7699156175161583
2024-01-01 14:00:00+00:00,2024,winter,4.63,110.0,22.33,4.626172125232331,4.6,66.0,303.83564942660155,22.264608384483488,0.9438,325.15645781108503,1.794936238275446
2024-01-01 15:00:00+00:00,2024,winter,7.202,120.0,22.33,7.137565282319244,4.9,37.03,395.52230567768805,22.199002223149794,0.529529,417.19177890083785,2.0331560102738657
2024-01-01 16:00:00+00:00,2024,winter,8.231,120.0,22.33,8.157359044538975,4.8,0.0,430.1636974658781,22.220894554251082,0.0,452.38459202012916,2.117174897696993
