line,rating_factor,s_nom_mva,max_loading,hours_at_rating,dispatch_down_mwh,source,scenario
5041-17010-2,1.0,210.0,1.0,52,3660.5902728027454,arbitrary sweep,WP2033
5041-17010-2,1.1,231.0,1.0,39,3232.7759327554613,arbitrary sweep,WP2033
5041-17010-2,1.2,252.0,1.0,19,3076.81892558412,arbitrary sweep,WP2033
5041-17010-2,1.3,273.0,1.0,13,3071.976374164673,arbitrary sweep,WP2033
