uplift_pct,rating_mva,hours_at_rating,wind_dispatch_down_mwh
0.0,210.0,52,3660.5902728027463
10.0,231.00000000000003,39,3232.7759327554613
20.0,252.0,19,3076.8189255841194
30.0,273.0,13,3071.976374164673
