observed_at_utc,year,season,wind_speed_ms,wind_direction_deg_true,line_azimuth_deg,wind_perpendicular_ms,air_temperature_c,global_solar_radiation_wm2,convective_heat_loss_wm,radiative_heat_loss_wm,solar_heat_gain_wm,net_heat_loss_wm,rating_multiplier
2024-06-01 00:00:00+00:00,2024,summer,1.543,10.0,22.33,0.3294952086619047,9.2,0.0,74.47741182300888,21.235048858962156,0.0,95.71246068197104,0.9738388017796555
2024-06-01 01:00:00+00:00,2024,summer,2.058,340.0,22.33,1.3858565644334253,9.7,0.0,144.35602053585305,21.120063002923622,0.0,165.47608353877666,1.2804730742460446
2024-06-01 02:00:00+00:00,2024,summer,3.601,330.0,22.33,2.850348573110594,10.0,0.0,207.96933803543257,21.050778151606515,0.0,229.0201161870391,1.506397718077845
2024-06-01 03:00:00+00:00,2024,summer,2.572,340.0,22.33,1.7319840056961955,8.4,0.0,163.349073660532,21.417759888125,0.0,184.76683354865702,1.3530531038290252
2024-06-01 04:00:00+00:00,2024,summer,1.029,320.0,22.33,0.9113203650593823,7.0,0.0,123.65071555466334,21.733777745543822,0.0,145.38449330020717,1.2002228133101878
2024-06-01 05:00:00+00:00,2024,summer,1.543,10.0,22.33,0.3294952086619047,7.9,82.0,75.94885005051512,21.531166179904194,1.1726,96.3074162304193,0.9768608388172532
2024-06-01 06:00:00+00:00,2024,summer,0.514,10.0,22.33,0.10976055557499612,8.8,218.0,44.893861636394675,21.32659878112227,3.1174,63.10306041751694,0.7907296885854502
2024-06-01 07:00:00+00:00,2024,summer,1.029,360.0,22.33,0.39095882200641807,11.1,362.0,78.32761670428839,20.794843004512877,5.1766,93.94585970880128,0.9648096893372365
2024-06-01 08:00:00+00:00,2024,summer,1.543,330.0,22.33,1.2213518045847394,12.4,526.0,130.47374735954696,20.488519327396272,7.5218,143.4404666869432,1.1921713440252462
2024-06-01 09:00:00+00:00,2024,summer,2.572,340.0,22.33,1.7319840056961955,13.0,660.0,152.06670520950428,20.34572073568897,9.438,162.97442594519327,1.2707571553217158
