snapshot,line_id,bus0,bus1,flow_MW,abs_flow_MW,rating_MW,overload_MW
2030-01-16 11:00:00,1021-2121-1,1021,2121,23.244235210908755,23.244235210908755,121.0,0.0
2030-01-16 12:00:00,1021-2121-1,1021,2121,21.83127040449051,21.83127040449051,121.0,0.0
2030-01-16 13:00:00,1021-2121-1,1021,2121,20.76881131442167,20.76881131442167,121.0,0.0
2030-01-16 14:00:00,1021-2121-1,1021,2121,16.031989646551096,16.031989646551096,121.0,0.0
2030-01-16 15:00:00,1021-2121-1,1021,2121,12.378643676072898,12.378643676072898,121.0,0.0
2030-01-16 16:00:00,1021-2121-1,1021,2121,20.090663084412654,20.090663084412654,121.0,0.0
2030-01-16 17:00:00,1021-2121-1,1021,2121,1.7694290296437885,1.7694290296437885,121.0,0.0
2030-01-16 18:00:00,1021-2121-1,1021,2121,24.48735774052369,24.48735774052369,121.0,0.0
2030-01-16 19:00:00,1021-2121-1,1021,2121,12.843792348296574,12.843792348296574,121.0,0.0
2030-01-16 20:00:00,1021-2121-1,1021,2121,20.124387879548294,20.124387879548294,121.0,0.0
2030-01-16 21:00:00,1021-2121-1,1021,2121,33.31315234184012,33.31315234184012,121.0,0.0
2030-01-16 22:00:00,1021-2121-1,1021,2121,33.686472060024016,33.686472060024016,121.0,0.0
2030-01-16 23:00:00,1021-2121-1,1021,2121,8.665255342089381,8.665255342089381,121.0,0.0
2030-01-17 00:00:00,1021-2121-1,1021,2121,4.368235169567811,4.368235169567811,121.0,0.0
2030-01-17 01:00:00,1021-2121-1,1021,2121,1.4139515561726057,1.4139515561726057,121.0,0.0
2030-01-17 02:00:00,1021-2121-1,1021,2121,-0.6488164478693079,0.6488164478693079,121.0,0.0
2030-01-17 03:00:00,1021-2121-1,1021,2121,-11.50303824347543,11.50303824347543,121.0,0.0
2030-01-17 04:00:00,1021-2121-1,1021,2121,6.058853144142972,6.058853144142972,121.0,0.0
2030-01-17 05:00:00,1021-2121-1,1021,2121,-9.692483739299746,9.692483739299746,121.0,0.0
2030-01-17 06:00:00,1021-2121-1,1021,2121,3.359698853015857,3.359698853015857,121.0,0.0
